id,config_file_path,strategy,market,symbol,base_asset,quote_asset,timestamp,order_id,trade_type,order_type,price,amount,trade_fee,exchange_trade_id
824,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589099674001,sell://ETH-USDC/8e4fec9f89f001676cbf64d52b,SELL,LIMIT,187.3486,0.118342,"{""percent"": 0.0, ""flat_fees"": []}",
825,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589099750001,buy://ETH-USDC/3919e5f7cebe3a6ddbe12649a3,BUY,LIMIT,187.1514,0.1001204,"{""percent"": 0.0, ""flat_fees"": []}",
826,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589099900001,sell://ETH-USDC/5591d9d43712a8ac89cd50e9e6,SELL,LIMIT,187.4887,0.1511743,"{""percent"": 0.0, ""flat_fees"": []}",
827,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100117001,buy://ETH-USDC/d524e6806223e324707f6bcfdb,BUY,LIMIT,187.806,0.1200963,"{""percent"": 0.0, ""flat_fees"": []}",
828,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100215001,buy://ETH-USDC/7a9facbd0f816bebe36733f3f3,BUY,LIMIT,187.5612,0.0621184,"{""percent"": 0.0, ""flat_fees"": []}",
829,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100308001,buy://ETH-USDC/c738c27f66cd74695eed3c7da6,BUY,LIMIT,187.5112,0.0314831,"{""percent"": 0.0, ""flat_fees"": []}",
830,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100379002,sell://ETH-USDC/6f8b371f9fed939f95c8ae7dd7,SELL,LIMIT,187.6088,0.1835141,"{""percent"": 0.0, ""flat_fees"": []}",
831,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100581001,buy://ETH-USDC/2bfb2ba0f5bab7071606fdc792,BUY,LIMIT,187.6062,0.1066939,"{""percent"": 0.0, ""flat_fees"": []}",
832,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100651002,sell://ETH-USDC/11017a32f9d4159aece96c97ff,SELL,LIMIT,187.4137,0.1434589,"{""percent"": 0.0, ""flat_fees"": []}",
833,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100730831,buy://ETH-USDC/c661acf808a0e9b3fa39c16892,BUY,LIMIT,187.5712,0.1253198,"{""percent"": 0.0, ""flat_fees"": []}",
834,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589100819002,sell://ETH-USDC/116514b35cf6f0546e883aaaac,SELL,LIMIT,187.6638,0.1365221,"{""percent"": 0.0, ""flat_fees"": []}",
835,conf_pure_mm_TEST_FEE1.yml,pure_market_making,coinbase_pro_PaperTrade,ETH-USDC,ETH,USDC,1589101120002,buy://ETH-USDC/d9570d4ee258e5294199ff7c1a,BUY,LIMIT,187.836,0.1286585,"{""percent"": 0.0, ""flat_fees"": []}",
